사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020010100100084,2020년 1월 1일 06시,수요일,경기도 수원시 권선구 세류동,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,31세,상해없음,보행자,남,30세,중상
2020010100100112,2020년 1월 1일 09시,수요일,경기도 수원시 장안구 송죽동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,흐림,교차로 - 교차로부근,승용,남,20세,상해없음,승용,남,43세,경상
2020010100100151,2020년 1월 1일 12시,수요일,경기도 수원시 권선구 권선동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,흐림,교차로 - 교차로안,이륜,남,17세,경상,승용,남,48세,상해없음
2020010100100239,2020년 1월 1일 17시,수요일,경기도 수원시 영통구 영통동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,교차로 - 교차로부근,승용,남,62세,상해없음,이륜,남,60세,경상
2020010100100269,2020년 1월 1일 18시,수요일,경기도 수원시 팔달구 매교동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,41세,상해없음,보행자,여,75세,중상
2020010200100018,2020년 1월 2일 03시,목요일,경기도 수원시 팔달구 인계동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,흐림,교차로 - 교차로안,승용,남,22세,상해없음,승용,남,53세,중상
2020010200100136,2020년 1월 2일 10시,목요일,경기도 수원시 장안구 조원동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,48세,상해없음,승용,여,68세,경상
2020010200100139,2020년 1월 2일 10시,목요일,경기도 수원시 팔달구 인계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,27세,상해없음,승용,남,42세,경상
2020010200100191,2020년 1월 2일 12시,목요일,경기도 수원시 팔달구 교동,부상신고사고,0,0,0,1,차량단독 - 기타,기타,건조,맑음,단일로 - 기타,승합,남,59세,상해없음,,,,
2020010200100390,2020년 1월 2일 18시,목요일,경기도 수원시 팔달구 우만동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승합,여,39세,상해없음,이륜,남,26세,경상
