전일까지의 누적 통계 (1차 접종),전일까지의 누적 통계 (2차 접종),통계 기준일자,당일 통계(1차 접종),당일 통계(2차 접종),지역명칭,전체 누적 통계(1차 접종),전체 누적 통계(2차 접종)
11040300,10576253,2021-11-21 00:00:00,8359,12491,경기도,11048659,10588744
11027472,10556185,2021-11-20 00:00:00,11727,18983,경기도,11039199,10575168
11017006,10539606,2021-11-19 00:00:00,9659,15686,경기도,11026665,10555292
11006655,10521937,2021-11-18 00:00:00,9544,16745,경기도,11016199,10538682
10997612,10507681,2021-11-17 00:00:00,8134,13148,경기도,11005746,10520829
10981866,10481876,2021-11-16 00:00:00,14680,24600,경기도,10996546,10506476
10980105,10479502,2021-11-15 00:00:00,1130,1581,경기도,10981235,10481083
10961054,10448143,2021-11-14 00:00:00,18808,31209,경기도,10979862,10479352
10938669,10408863,2021-11-13 00:00:00,21857,38649,경기도,10960526,10447512
10920672,10381483,2021-11-12 00:00:00,16636,26001,경기도,10937308,10407484
10901990,10355976,2021-11-11 00:00:00,17704,24544,경기도,10919694,10380520
10888351,10323962,2021-11-10 00:00:00,12776,31002,경기도,10901127,10354964
10852851,10279286,2021-11-09 00:00:00,33994,43037,경기도,10886845,10322323
10851214,10277283,2021-11-08 00:00:00,1012,1362,경기도,10852226,10278645
10835630,10258406,2021-11-07 00:00:00,15351,18715,경기도,10850981,10277121
10816587,10214500,2021-11-06 00:00:00,17912,42324,경기도,10834499,10256824
10799748,10179954,2021-11-05 00:00:00,15649,33137,경기도,10815397,10213091
10782119,10159184,2021-11-04 00:00:00,16742,19929,경기도,10798861,10179113
10768827,10134421,2021-11-03 00:00:00,11871,23622,경기도,10780698,10158043
10743785,10099786,2021-11-02 00:00:00,24339,33718,경기도,10768124,10133504
10741786,10088940,2021-11-01 00:00:00,1187,9196,경기도,10742973,10098136
10729513,9976474,2021-10-31 00:00:00,11965,112139,경기도,10741478,10088613
10713139,9772638,2021-10-30 00:00:00,15068,198469,경기도,10728207,9971107
10695555,9591556,2021-10-29 00:00:00,16268,178283,경기도,10711823,9769839
10673954,9514413,2021-10-28 00:00:00,20258,75215,경기도,10694212,9589628
