년도,광역시도명,전체온실가스배출량,1인당인구배출량,관리업체1개당 온실가스배출량,사업장1개당온실가스 배출량
2019,서울특별시,11366609,1.168,35744.053,3305.208
2019,부산광역시,6747556,1.977,47518,9032.873
2019,대구광역시,4003434,1.642,33642.303,8087.745
2019,인천광역시,48301096,16.334,345007.829,76546.903
2019,광주광역시,1557749,1.07,14695.745,4749.235
2019,대전광역시,4065470,2.756,32523.76,9281.895
2019,울산광역시,48437285,42.192,295349.299,130911.581
2019,세종특별자치시,1828396,5.369,46881.949,21510.541
2019,경기도,61854822,4.672,173262.807,19150.1
2019,강원도,49424508,32.063,380188.523,92038.19
2019,충청북도,21767025,13.604,127292.544,33436.29
2019,충청남도,151149802,71.173,767257.878,232896.459
2019,전라북도,14931263,8.209,95713.224,27548.456
2019,전라남도,98094884,52.492,705718.59,174857.191
2019,경상북도,54013530,20.261,275579.235,63470.658
2019,경상남도,47656268,14.173,264757.044,53486.272
2019,제주특별자치도,1798861,2.681,28107.203,7622.292
2018,서울특별시,11938224,1.222,38886.723,3520.561
2018,부산광역시,7937452,2.306,59234.716,10888.137
2018,대구광역시,4876083,1.981,41675.923,9930.923
2018,인천광역시,51185816,17.324,376366.294,81376.496
2018,광주광역시,1879961,1.288,19183.276,5874.878
2018,대전광역시,4437745,2.978,36374.959,10272.558
2018,울산광역시,49685490,42.995,316468.089,132494.64
2018,세종특별자치시,2268010,7.22,61297.568,28708.987
2018,경기도,64463809,4.929,186311.587,20374.149
2018,강원도,50173655,32.516,404626.25,94311.382
2018,충청북도,22010132,13.763,133394.739,34498.639
2018,충청남도,157622104,74.13,852011.373,250591.58
2018,전라북도,15671547,8.532,101106.755,28861.044
2018,전라남도,97948699,52.018,714954.007,175535.303
2018,경상북도,54228078,20.258,278092.708,63872.883
2018,경상남도,52461483,15.549,291452.683,59345.569
2018,제주특별자치도,1909010,2.861,31295.246,8300.043
2017,서울특별시,11732206,1.19,38848.364,3182.047
2017,부산광역시,7239949,2.086,53234.919,9305.847
2017,대구광역시,4785544,1.933,40214.655,9012.324
2017,인천광역시,50108309,16.994,391471.164,77928.941
2017,광주광역시,2516153,1.719,25415.687,7067.846
2017,대전광역시,4428632,2.948,36300.262,9797.858
2017,울산광역시,45289654,38.871,294088.662,119813.899
2017,세종특별자치시,1957585,6.989,54377.361,25423.182
2017,경기도,55360546,4.3,166247.886,16710.095
2017,강원도,45091191,29.088,378917.571,83194.079
2017,충청북도,22886447,14.354,143040.294,35482.864
2017,충청남도,159731217,75.46,868104.44,242016.995
2017,전라북도,16063178,8.661,101665.684,28380.173
2017,전라남도,98111284,51.735,721406.5,174575.238
2017,경상북도,52311697,19.434,275324.721,60686.423
2017,경상남도,54320298,16.069,305170.213,57849.093
2017,제주특별자치도,1630268,2.481,27171.133,6521.072
2016,서울특별시,11666371,1.175,38758.708,3386.465
2016,부산광역시,7750073,2.215,60078.085,10529.99
2016,대구광역시,4996989,2.011,42347.364,9554.472
2016,인천광역시,51358093,17.451,407603.913,81006.456
2016,광주광역시,2339457,1.592,24887.84,6553.101
2016,대전광역시,4522658,2.986,37070.967,11112.182
2016,울산광역시,46948845,40.048,321567.432,127926.008
2016,세종특별자치시,1902740,7.829,52853.889,26799.155
2016,경기도,51895912,4.081,163709.502,16417.562
2016,강원도,38363319,24.738,322380.832,72934.067
2016,충청북도,22920392,14.401,150792.053,35981.777
2016,충청남도,139577573,66.569,816243.117,219807.202
2016,전라북도,14927595,8.005,96307.065,26656.42
2016,전라남도,94519752,49.645,516501.377,165533.716
2016,경상북도,52695752,19.514,130112.968,62733.038
2016,경상남도,56962719,16.883,318227.48,60341.863
2016,제주특별자치도,1549902,2.416,26722.448,6174.908
2015,서울특별시,11910136,1.188,39178.079,3499.893
2015,부산광역시,7208087,2.051,55876.643,9928.494
2015,대구광역시,4835724,1.944,41687.276,9353.431
2015,인천광역시,52555003,17.963,420440.024,84222.761
2015,광주광역시,2344748,1.593,25212.344,6796.371
2015,대전광역시,4278001,2.817,35355.38,10695.003
2015,울산광역시,44471909,37.896,302529.993,123533.081
2015,세종특별자치시,1896539,8.993,54186.829,27890.279
2015,경기도,50429620,4.027,159587.405,16293.9
2015,강원도,37278745,24.058,313266.765,70470.217
2015,충청북도,21770613,13.744,143227.717,34944.804
2015,충청남도,138932268,66.87,826977.786,224446.313
2015,전라북도,14049081,7.514,90639.232,25730.918
2015,전라남도,93852103,49.163,721939.254,168193.733
2015,경상북도,52627007,19.471,284470.308,64414.941
2015,경상남도,56340423,16.745,314750.966,61106.749
2015,제주특별자치도,1676939,2.686,28912.741,7105.674
2014,서울특별시,11894027,1.177,39779.355,3668.731
2014,부산광역시,9336753,2.653,75296.395,13551.165
2014,대구광역시,3948314,1.584,34634.333,8057.784
2014,인천광역시,52527836,18.097,430556.033,88879.587
2014,광주광역시,2474469,1.677,27494.1,7805.896
2014,대전광역시,4325347,2.824,36347.454,11596.105
